customerId,name,phone_number,address,DOB,customer_since,gender,point,remaining_point
0,Take away customer,000-0000-000,,,,,0,65
1,Lisa Edwards,654-1824-025,"36905 Mcgee Union Apt. 685
Sarahmouth, RI 89187",1964-05-29,2021-08-31,F,0,93
2,Autumn Gibson,759-4506-250,"921 Kimberly Course
Cookefurt, IA 95531",2008-04-15,2021-09-29,F,0,46
3,Susan Carroll,228-2286-754,"68500 Long Bridge
Roberthaven, DC 96275",1976-04-28,2022-04-26,F,0,77
4,Mary Mercado,104-8935-089,"Unit 3551 Box 0551
DPO AE 47671",1970-08-23,2022-07-31,F,0,23
5,Marcia Garrett,604-6912-032,"9593 Quinn Parkways Suite 477
Fisherland, AZ 65666",2004-01-05,2023-07-16,F,0,95
6,Alexis Taylor,030-1535-223,"89950 Richard Creek Suite 238
West Tracy, CA 70601",1973-04-18,2023-06-02,M,0,112
7,Christopher Benson,238-8279-616,"3392 Gordon Villages
West Caseyfurt, KS 74111",1944-05-12,2020-12-19,M,0,81
8,Kara Wilkinson,027-9195-203,"224 Nicholas Rapid
Thomashaven, OH 05603",2002-11-02,2023-08-29,M,0,87
9,Allison Newman,733-8928-429,"17151 Johnson Shores
East Teresachester, GA 08055",1985-01-20,2024-05-04,F,0,69
10,John Turner,225-7359-603,"PSC 0673, Box 0691
APO AE 12931",1957-05-16,2024-02-20,F,0,128
11,Brooke Hull,284-0106-777,"55603 Ward Manors
Whiteheadport, DE 99276",1965-03-26,2021-07-25,M,0,146
12,Brandon Dunn,825-2615-714,"4950 Amber Loaf Suite 945
Espinozashire, MP 56012",1994-01-09,2022-04-01,M,0,148
13,John Silva,432-5574-284,"44778 Timothy Flats
New Courtneyburgh, ID 41251",2002-11-07,2023-08-16,M,0,74
14,Caroline Scott,159-3527-980,"USS Bailey
FPO AE 60557",1950-03-27,2024-06-27,M,0,142
15,Jennifer Cruz,781-5514-104,"21110 John Lodge Suite 706
Kennethview, NY 92384",1951-06-24,2022-08-30,F,0,105
16,Michael Gonzalez,094-6224-099,"634 Richard Stravenue
West Tina, NV 65833",1991-12-13,2022-02-15,M,0,197
17,Anthony Young,367-5635-618,"412 Middleton Trail Apt. 959
North Nathan, MN 53936",1976-11-19,2022-03-02,F,0,60
18,Michele Moses,270-0711-747,"68113 Medina Highway Suite 246
South Timothyborough, RI 23127",2008-08-27,2023-02-03,M,0,100
19,Lucas Martinez,470-8785-127,"3185 Hale Ford
Lake Victoriashire, MO 74720",2003-06-14,2023-03-21,F,0,102
20,Dr. David Black,996-6201-080,"9879 Rosales Underpass
South Susanmouth, AS 37861",1963-10-14,2021-11-25,F,0,56
21,Christopher Hill,565-4803-849,"PSC 3247, Box 8373
APO AE 88703",1950-02-08,2020-07-28,M,0,83
22,Brent Hill,643-5925-591,"340 Alexis Forges Suite 041
Edwardsfurt, GU 60000",1982-11-13,2024-10-08,M,0,125
23,Nicholas Jenkins,196-1139-046,"26656 Nguyen Crescent
Port Karen, NV 73256",1987-11-27,2023-11-25,F,0,40
24,Shane Smith,677-3733-791,"0484 Andrews Squares Apt. 848
Ashleyfort, IN 29539",1964-08-12,2023-12-01,M,0,118
25,Lawrence Williams,296-1307-875,"4700 Johnson Springs Suite 625
Andersonshire, PA 02508",2005-02-19,2022-08-11,M,0,21
26,William Hooper,238-1654-389,"Unit 2030 Box 4738
DPO AP 34955",2007-11-16,2020-07-14,M,0,46
27,Douglas Wilson,284-7428-650,"768 Diaz Village
West Harryberg, KY 98953",1993-02-26,2024-11-03,M,0,138
28,Jacob Riley,854-5977-166,"714 Caleb Mews
Cynthiashire, AL 71635",1944-08-11,2024-08-29,M,0,137
29,Penny Gordon,379-5820-214,"1676 Austin Station
Lake Robert, AR 44186",1958-01-25,2021-04-22,M,0,153
30,Jacqueline Morris,686-4374-718,"5468 Lee Prairie
South Joanneborough, GU 28907",2006-01-17,2023-12-23,F,0,170
31,Bailey Gonzalez,959-1169-623,"USCGC Thompson
FPO AE 01030",2000-05-31,2024-05-07,F,0,77
