customerId,name,phone_number,address,DOB,customer_since,gender,point,remaining_point
1,Angela Graham,730-4447-658,"4181 Jackson Dale Newtonberg, MH 25654",1956-11-07,2024-06-28,M,1009,1009
2,Chad Montes,824-5348-693,"209 Thompson Shoals Amandaburgh, ND 33195",2006-02-13,2024-12-26,F,963,963
3,Mr. Sean Noble,650-7417-852,USS Williams FPO AE 35933,1994-12-30,2024-06-12,M,1317,1317
4,Stephen Hudson,271-9465-191,"1832 Branch Way West Sara, IN 04675",1972-11-02,2023-02-04,M,1287,1287
5,Katherine Stokes,255-4029-794,"14461 Amanda Via Suite 199 West Kelly, TX 22020",1967-03-08,2023-02-01,F,1182,1182
6,Lindsey Smith,218-9510-389,"4466 Mary Inlet New Jaymouth, NC 74822",1945-10-26,2024-10-30,F,1317,1317
7,Richard Kelly,242-6800-436,"2871 Hodges Ports East Kevin, NV 51593",2006-07-14,2022-04-12,M,1314,1314
8,Susan Vazquez,623-4308-780,USNS Steele FPO AP 36409,2004-10-17,2024-12-06,F,1327,1327
9,Mrs. Carla Williams,029-4739-488,"83993 Bobby Camp Sallyton, FM 09408",2002-01-11,2020-04-14,M,1012,1012
10,Kimberly Miller,532-3945-370,Unit 1738 Box 9002 DPO AE 29790,2005-01-19,2021-02-14,M,1354,1134
11,Zachary Mckinney,140-4777-561,"0106 Mclean Club Muellerfurt, NM 18763",1959-12-13,2022-08-03,F,995,995
12,Ronnie Vasquez,705-8263-585,"5593 Rose Circle Haleyport, AL 69003",1977-01-12,2020-09-15,F,1455,1455
13,Dean Roth,774-3272-510,"84771 Watts Squares Port Troy, NC 52933",1983-02-01,2021-08-22,F,919,919
14,Curtis Sandoval,873-4214-409,"542 Kevin Plains East Donald, PW 50450",1953-09-06,2022-06-13,M,1001,1001
15,Andrew Nicholson Jr.,904-1702-298,"7090 Hammond Shores Marieland, NE 51528",1948-09-27,2023-05-06,F,1175,1175
16,Mr. Jordan Hahn DDS,834-5144-561,"52323 Lance Grove New Coreyhaven, ID 20534",1994-07-05,2023-05-26,F,1042,1042
17,Tyler Kim,797-7286-260,"713 Gray Islands Suite 384 West Victoriaport, ND 08502",1944-09-24,2024-11-15,M,1303,1303
18,Amanda Grant,637-8749-860,"25482 Lewis Fords Taylormouth, NM 35232",1958-10-07,2020-04-03,M,1093,1093
19,Alexis Stark,346-1694-668,"787 Joshua Estate Saraton, TX 41558",1996-10-29,2024-02-07,M,1213,1213
20,Brian Schroeder,570-9356-494,"0846 Little Spurs Apt. 092 Stokesstad, MS 81445",1955-10-28,2021-03-01,M,1206,1206
21,Elizabeth Price,146-3057-491,"43548 Sanchez Junctions Apt. 260 Johnsonville, MS 24102",1957-07-29,2021-10-15,M,1535,1535
22,Thomas Rasmussen,887-2650-877,"9790 Rebecca Lodge North Thomasport, AK 11354",1969-12-11,2023-05-12,F,1470,1470
23,Vanessa Rodriguez,285-8245-216,"001 Heidi Village Margaretburgh, OR 05107",2003-12-13,2020-04-03,F,1211,1211
24,Natalie Martinez,559-3233-497,"15408 Brian Court Apt. 844 East Dariusport, VI 91413",1972-01-28,2021-10-21,F,1156,1156
25,William Black,321-4554-503,"57578 Vance Ford Port Juanstad, OH 27672",2008-10-12,2022-09-23,F,1034,1034
26,Christopher Silva,816-0937-350,"4286 Jo Field Collinsstad, MP 86953",1961-08-03,2022-10-19,M,1443,1443
27,Nancy Martinez,949-5224-634,"1718 Freeman Land Apt. 840 Annhaven, FM 75097",1998-07-08,2023-11-14,F,1225,1225
28,Patrick Anderson,395-8409-502,"36469 Fisher Radial Apt. 229 Knoxport, IN 79181",1963-11-02,2024-09-09,M,1156,1056
29,Tiffany Stephens,690-8791-652,"6123 Diana Estates Suite 684 Courtneystad, PW 66132",1954-09-11,2020-05-10,F,985,985
30,Randy Herrera,170-9268-417,"1906 Jenna Squares New Brianstad, ID 16992",1976-07-28,2022-03-14,M,1089,1089
31,Andre Jacobs,852-6088-340,"28633 Buckley Manors Apt. 911 Johnsonview, MS 60040",2008-01-27,2021-05-04,F,1176,1176
32,Diane Wong,977-3233-137,"76310 Mackenzie Flats Marquezview, SC 91293",1962-08-04,2021-01-01,M,966,966
33,Melissa Osborne,657-8732-844,"87876 Vaughan Mount Suite 504 Elizabethshire, NV 65762",2007-03-13,2020-09-19,M,1008,1008
34,Danielle Odom,101-0281-601,"40458 Chase Wall Suite 284 Lowetown, HI 69866",2000-03-09,2022-01-12,M,1017,1017
35,Kyle Hernandez,257-0452-016,"13054 Martinez Rapids Caldwellfurt, NJ 66232",1949-02-10,2024-12-25,M,1162,1162
36,Anthony Waller,476-1864-315,"046 John Route Suite 531 Johnland, PR 49309",1945-12-08,2023-07-11,F,937,917
37,Barbara Bell,030-7563-144,"6549 Christopher Brook Suite 405 East Pamelaside, TN 74974",1961-10-13,2022-01-27,F,1418,1418
38,Steven Diaz,107-9623-894,"927 Karen Prairie Suite 617 Kevinbury, PW 46325",2004-11-18,2022-02-05,F,1194,1194
39,Karen Montoya,131-2079-851,"36698 Delgado Unions Suite 079 North Jamesmouth, NE 28166",1987-06-04,2020-09-26,F,1538,1538
40,Sean Clark,164-1378-035,"571 Melissa Trafficway South Nancy, VA 42841",1992-06-03,2021-04-26,M,1231,1231
41,Thomas Wilson,093-5776-013,"759 Michael Curve Suite 405 Daniellefort, AK 68440",2003-10-22,2022-10-13,F,1341,1341
42,Perry Gibson Jr.,265-8763-300,"8378 Hunt Parkways Lake Brianfurt, AZ 27167",1950-08-08,2024-10-22,F,1006,1006
43,Jeffrey Aguirre,574-2758-784,"674 Shelia Route Brittanyside, MD 34410",1951-10-24,2024-11-16,M,1455,1455
44,Ronald Cook,223-5265-879,"40147 Jordan Cliffs Fosterview, IA 16010",1945-08-31,2022-12-23,M,1453,1453
45,Tara Whitehead,642-3112-914,"77722 Smith Extension West Janet, NY 79897",2001-10-01,2024-10-07,M,1122,1122
46,Beth Miller,198-6512-901,"00438 Cesar Turnpike East Rachelland, OR 67859",1988-12-31,2024-02-15,F,1229,1079
47,Bethany Neal,185-5211-204,"33141 Michelle Haven West Steveville, MO 90809",1981-10-22,2020-10-04,M,1160,1160
48,Tamara Lee,967-6730-661,"7988 Jimmy Square Apt. 431 Anthonyborough, VT 33291",2008-04-28,2020-07-28,M,1508,788
49,Sarah Ward,264-0425-822,"96322 Campbell Inlet Apt. 862 Leechester, MA 87491",1954-09-03,2022-01-25,F,926,866
50,Dylan Wood,725-1367-963,"18283 Johnson Way Apt. 167 Michaelstad, NE 62802",1993-02-22,2020-04-12,M,891,891
51,Robert Rangel,403-1969-699,"0923 Heather Mission Suite 312 Lake Matthew, KY 19386",1949-08-07,2022-04-20,F,1258,1258
52,Kathy Oliver,061-2355-560,"598 Hayden Dam Floresport, VA 64606",1970-06-10,2024-09-21,M,1141,1141
53,Noah Ray,001-4674-584,"44507 Nelson Islands Apt. 913 Jeffersonview, ND 60282",1993-01-19,2023-04-22,M,1478,1478
54,Anna Evans,741-0895-212,"375 Austin Camp East Ronaldmouth, MO 05959",1962-05-07,2020-12-22,F,1288,1288
55,Kenneth Sweeney,312-0919-087,"82718 Ashley Spurs Apt. 475 New Seanton, MD 56064",1996-08-09,2021-05-06,M,1114,1114
56,Robert Davis,256-7389-878,"9530 Fuller Valleys East Suzanne, WY 01296",1993-08-21,2024-06-17,F,1212,1212
57,Ian Turner,344-6006-211,"01726 Hutchinson Plaza Masseyside, VI 69669",1972-05-28,2023-05-25,M,1065,1065
58,Jack Norton,508-3803-916,"92850 Deborah Village Apt. 894 Maciasstad, NV 94762",1967-03-29,2020-04-21,M,1221,1221
59,Brian Mills,772-9635-654,"224 Salazar Field Apt. 074 Robertschester, IL 53575",1998-01-07,2021-08-19,F,1094,1094
